chargeDescription,codeUcr,count,comb,category
POSSESS/BUY/ETC FIREARM WITHOUT IDENTIFICATION MARK (M),D,1,POSSESS/BUY/ETC FIREARM WITHOUT IDENTIFICATION MARK (M) - D,0
POSSESS/ETC FIREARM W/PR VIOLENT OFFENSE CONVICTION (F),D,1,POSSESS/ETC FIREARM W/PR VIOLENT OFFENSE CONVICTION (F) - D,0
POSSESS/PURCHAS/ETC PROJECTILE TEAR GAS WEAPON (M),D,4,POSSESS/PURCHAS/ETC PROJECTILE TEAR GAS WEAPON (M) - D,0
POSSESS/PURCHASE/ETC PROJECTILE TEAR GAS WEAPON (F),D,1,POSSESS/PURCHASE/ETC PROJECTILE TEAR GAS WEAPON (F) - D,0
PROHIBITED ACTS:LOADED F/ARM (M),D,1,PROHIBITED ACTS:LOADED F/ARM (M) - D,0
PROHIBITED BY COURT ORDERS:PURCHASE/ETC FIREARM (F),D,4,PROHIBITED BY COURT ORDERS:PURCHASE/ETC FIREARM (F) - D,0
PROHIBITED OWN /POSSESS FIREARM DENIED BY COURT ORDERS (M),D,1,PROHIBITED OWN /POSSESS FIREARM DENIED BY COURT ORDERS (M) - D,0
PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),D,97,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F) - D,0
REMOVE/ALTER/ETC SERIAL NUMBER/ID MARK ON TEAR GAS WEAPON (M),D,1,REMOVE/ALTER/ETC SERIAL NUMBER/ID MARK ON TEAR GAS WEAPON (M) - D,0
SELL TEAR GAS/TEAR GAS WEAPON (M),D,1,SELL TEAR GAS/TEAR GAS WEAPON (M) - D,0
SHOOT AT INHABITED DWELLING/VEHICLE/ETC,D,1,SHOOT AT INHABITED DWELLING/VEHICLE/ETC - D,0
SHOOT AT UNOCCUPIED DWELLING/VEH (F),D,101,SHOOT AT UNOCCUPIED DWELLING/VEH (F) - D,0
UNLAWFUL POSSESS/USE TEAR GAS OR TEAR GAS WEAPON:EX FEL/ETC (M),D,51,UNLAWFUL POSSESS/USE TEAR GAS OR TEAR GAS WEAPON:EX FEL/ETC (M) - D,0
USE OF DEADLY WEAPON/INSTRUMENT/FIREARM SHALL BE CONFISCATED,D,1,USE OF DEADLY WEAPON/INSTRUMENT/FIREARM SHALL BE CONFISCATED - D,0
VEH DRIVER/OWNER PERMIT DISCHARGE OF FIREARM FROM VEHICLE (M),D,1,VEH DRIVER/OWNER PERMIT DISCHARGE OF FIREARM FROM VEHICLE (M) - D,0
EMBEZZLE LEASED/RENTED VEH (F),E,558,EMBEZZLE LEASED/RENTED VEH (F) - E,0
EMBEZZLE PROPERTY BY PUBLIC/PRIVATE OFFICER [OVER $950],E,1,EMBEZZLE PROPERTY BY PUBLIC/PRIVATE OFFICER [OVER $950] - E,0
EMBEZZLE RENTED AUTO(OVER $200),E,22,EMBEZZLE RENTED AUTO(OVER $200) - E,0
EMBEZZLEMENT ($950 OR LESS) (M),E,5,EMBEZZLEMENT ($950 OR LESS) (M) - E,0
EMBEZZLEMENT (OVER $400),E,2,EMBEZZLEMENT (OVER $400) - E,0
EMBEZZLEMENT [OVER $950] (F),E,19,EMBEZZLEMENT [OVER $950] (F) - E,0
EMBEZZLEMENT BY AN EMPLOYEE,E,4,EMBEZZLEMENT BY AN EMPLOYEE - E,0
EMBEZZLEMENT BY EMPLOYEE [$950 OR LESS],E,10,EMBEZZLEMENT BY EMPLOYEE [$950 OR LESS] - E,0
EMBEZZLEMENT BY EMPLOYEE [OVER $950],E,58,EMBEZZLEMENT BY EMPLOYEE [OVER $950] - E,0
FELONY EMBEZZLEMENT BY EMPLOYEE,E,1,FELONY EMBEZZLEMENT BY EMPLOYEE - E,0
FIN ELDER ABUSE BY CARETAKER (F),E,24,FIN ELDER ABUSE BY CARETAKER (F) - E,0
THEFT FROM ELDER/DEPENDENT ADULT BY CARETAKER (OVER $400),E,10,THEFT FROM ELDER/DEPENDENT ADULT BY CARETAKER (OVER $400) - E,0
THEFT FROM ELDER/DEPENDENT ADULT BY CARETAKER (UNDER $400),E,1,THEFT FROM ELDER/DEPENDENT ADULT BY CARETAKER (UNDER $400) - E,0
THEFT FROM ELDER/DEPENDENT ADULT BY NON-CARETAKER (OVER $400),E,61,THEFT FROM ELDER/DEPENDENT ADULT BY NON-CARETAKER (OVER $400) - E,0
THEFT FROM ELDER/DEPENDENT ADULT BY NON-CARETAKER (UNDER $400),E,4,THEFT FROM ELDER/DEPENDENT ADULT BY NON-CARETAKER (UNDER $400) - E,0
THEFT OF ELDER/DEPENDENT ADULT (EMBEZZLEMENT $950 OR LESS) (M),E,48,THEFT OF ELDER/DEPENDENT ADULT (EMBEZZLEMENT $950 OR LESS) (M) - E,0
THEFT OF ELDER/DEPENDENT ADULT (EMBEZZLEMENT OVER $950) (F),E,89,THEFT OF ELDER/DEPENDENT ADULT (EMBEZZLEMENT OVER $950) (F) - E,0
THEFT OF ELDER/DEPENDENT ADULT (LARCENY $950 OR LESS) (M),E,66,THEFT OF ELDER/DEPENDENT ADULT (LARCENY $950 OR LESS) (M) - E,0
THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F),E,272,THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F) - E,0
1343 - WIRE FRAUD,F,1,1343 - WIRE FRAUD - F,0
ACQUIRE/ETC PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD,F,10,ACQUIRE/ETC PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD - F,0
ATTEMPTED PETTY THEFT,F,1,ATTEMPTED PETTY THEFT - F,0
"BENEFIT BY FALSE FINANCIAL STATEMENT W/O USING FICT NAME, SSN...",F,1,"BENEFIT BY FALSE FINANCIAL STATEMENT W/O USING FICT NAME, SSN... - F",0
BURGLARY (COMMERCIAL) (F),F,10,BURGLARY (COMMERCIAL) (F) - F,0
BURGLARY (FOR PURPOSE OF FRAUD/FORGERY) (F),F,19,BURGLARY (FOR PURPOSE OF FRAUD/FORGERY) (F) - F,0
BURGLARY (RESIDENTIAL) (F),F,4,BURGLARY (RESIDENTIAL) (F) - F,0
BURGLARY/SECOND DEGREE,F,4,BURGLARY/SECOND DEGREE - F,0
BURGLARY/UNSPECIFIED,F,5,BURGLARY/UNSPECIFIED - F,0
COMMIT MAIL THEFT (M),F,23,COMMIT MAIL THEFT (M) - F,0
CONVEY/SELL/ETC PERSONAL ID INFO WITH INTENT TO DEFRAUD (F),F,3,CONVEY/SELL/ETC PERSONAL ID INFO WITH INTENT TO DEFRAUD (F) - F,0
CONVEY/SELL/ETC PERSONAL ID INFO WITH INTENT TO DEFRAUD (M),F,2,CONVEY/SELL/ETC PERSONAL ID INFO WITH INTENT TO DEFRAUD (M) - F,0
CONVEY/TRANSFER/ETC PERSONAL ID INFO WITH INTENT TO DEFRAUD,F,1,CONVEY/TRANSFER/ETC PERSONAL ID INFO WITH INTENT TO DEFRAUD - F,0
DEALER ALLOW/MISUSE OF SPECIAL PLATES (M),F,2,DEALER ALLOW/MISUSE OF SPECIAL PLATES (M) - F,0
DEFRAUDING AN INKEEPER ($400 OR LESS),F,14,DEFRAUDING AN INKEEPER ($400 OR LESS) - F,0
DEFRAUDING AN INNKEEPER (MORE THAN $400),F,2,DEFRAUDING AN INNKEEPER (MORE THAN $400) - F,0
DEFRAUDING AN INNKEEPER [$950 OR LESS] (M),F,69,DEFRAUDING AN INNKEEPER [$950 OR LESS] (M) - F,0
DEFRAUDING AN INNKEEPER [OVER $950] (F),F,14,DEFRAUDING AN INNKEEPER [OVER $950] (F) - F,0
DIVERSION OF FUNDS [$2350 OR LESS] (M),F,3,DIVERSION OF FUNDS [$2350 OR LESS] (M) - F,0
DIVERSION OF FUNDS [OVER $2350] (F,F,4,DIVERSION OF FUNDS [OVER $2350] (F - F,0
DIVERSION OF MONEY OVER $1000,F,1,DIVERSION OF MONEY OVER $1000 - F,0
FAIL TO PAY FARE FOR PUBLIC TRANSIT SYSTEM (I),F,50,FAIL TO PAY FARE FOR PUBLIC TRANSIT SYSTEM (I) - F,0
FALSE INFORMATION/ETC TO PAWN BROKER/ETC,F,1,FALSE INFORMATION/ETC TO PAWN BROKER/ETC - F,0
FALSE PERSONATION OF ANOTHER:SPEC CIRC (F),F,18,FALSE PERSONATION OF ANOTHER:SPEC CIRC (F) - F,0
FRAUDULENT POSSESS/USE SCANNING DEVICE (M),F,19,FRAUDULENT POSSESS/USE SCANNING DEVICE (M) - F,0
GET CREDIT/ETC OTHER'S ID (F),F,2063,GET CREDIT/ETC OTHER'S ID (F) - F,0
GET CREDIT/ETC OTHERS ID,F,421,GET CREDIT/ETC OTHERS ID - F,0
GRAND THEFT (Theft From Building) (F),F,1,GRAND THEFT (Theft From Building) (F) - F,0
GRAND THEFT / THEFT OF PERSONAL PROPERTY,F,1,GRAND THEFT / THEFT OF PERSONAL PROPERTY - F,0
GRAND THEFT BY EMPLOYEE/SERVANT/ETC ($950 OR MORE),F,2,GRAND THEFT BY EMPLOYEE/SERVANT/ETC ($950 OR MORE) - F,0
GRAND THEFT BY SERVANT/ETC [$950 OR MORE] (F),F,14,GRAND THEFT BY SERVANT/ETC [$950 OR MORE] (F) - F,0
GRAND THEFT OF ACCESS CARDS (4 OR MORE) (F),F,9,GRAND THEFT OF ACCESS CARDS (4 OR MORE) (F) - F,0
GRAND THEFT:MONEY/LABOR/PROPERTY (F),F,55,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - F,0
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,F,27,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - F,0
GRAND THEFT/UNSPECIFIED,F,19,GRAND THEFT/UNSPECIFIED - F,0
IDENTITY THEFT,F,26,IDENTITY THEFT - F,0
IMPERSONATE TO GET MONEY/FELONY,F,151,IMPERSONATE TO GET MONEY/FELONY - F,0
IMPERSONATE WITHOUT CONSENT:HARM/DEFRAUD/ETC:INTERNET WEBSITE (M),F,4,IMPERSONATE WITHOUT CONSENT:HARM/DEFRAUD/ETC:INTERNET WEBSITE (M) - F,0
IMPERSONATING A PEACE OFCR (M),F,2,IMPERSONATING A PEACE OFCR (M) - F,0
IMPERSONATING ANOTHER VIA THE INTERNET,F,2,IMPERSONATING ANOTHER VIA THE INTERNET - F,0
INTENT USE/SELL/TRANSFER ACCESS CARD W/O CONSENT:FRAUD,F,3,INTENT USE/SELL/TRANSFER ACCESS CARD W/O CONSENT:FRAUD - F,0
KNOWINGLY USE PERSONAL IDENTIFYING INFO TO COMMIT A VIOLATION (F),F,21,KNOWINGLY USE PERSONAL IDENTIFYING INFO TO COMMIT A VIOLATION (F) - F,0
KNOWINGLY USE PERSONAL IDENTIFYING INFO TO COMMIT VIOLATION (M),F,21,KNOWINGLY USE PERSONAL IDENTIFYING INFO TO COMMIT VIOLATION (M) - F,0
MAKE EQUIP FOR COUNTERFEIT ACCESS CARDS (F),F,5,MAKE EQUIP FOR COUNTERFEIT ACCESS CARDS (F) - F,0
OBT PHONE/TELEGRAPH SVC BY OTH FRAUD [$400 OR LESS] (M),F,1,OBT PHONE/TELEGRAPH SVC BY OTH FRAUD [$400 OR LESS] (M) - F,0
OBTAIN CREDIT/ETC:USE OTHERS ID,F,19,OBTAIN CREDIT/ETC:USE OTHERS ID - F,0
OBTAIN MONEY BY FALSE VOUCHER,F,1,OBTAIN MONEY BY FALSE VOUCHER - F,0
OBTAIN MONEY BY FALSE VOUCHER (F),F,1,OBTAIN MONEY BY FALSE VOUCHER (F) - F,0
"OBTAIN MONEY,ETC. BY FALSE PRETENSES (OVER $400)",F,14,"OBTAIN MONEY,ETC. BY FALSE PRETENSES (OVER $400) - F",0
OBTAIN MONEY/ETC BY FALSE PRETENSES ¡OVER $950+,F,11,OBTAIN MONEY/ETC BY FALSE PRETENSES ¡OVER $950+ - F,0
OBTAIN MONEY/ETC BY FALSE PRETENSES ($950 OR LESS),F,1,OBTAIN MONEY/ETC BY FALSE PRETENSES ($950 OR LESS) - F,0
OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),F,69,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M) - F,0
OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),F,166,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F) - F,0
OFFER/ETC FALSE/FORGED INSTRUMENT TO FILE (F),F,2,OFFER/ETC FALSE/FORGED INSTRUMENT TO FILE (F) - F,0
P0SSESS BLANK CHECK:DEFRAUD (F),F,7,P0SSESS BLANK CHECK:DEFRAUD (F) - F,0
PERSONATE TO GET MONEY/PROP [$400 OR LESS] (M),F,344,PERSONATE TO GET MONEY/PROP [$400 OR LESS] (M) - F,0
PERSONATE TO GET MONEY/PROP [OVER $400] (F),F,1246,PERSONATE TO GET MONEY/PROP [OVER $400] (F) - F,0
PERSONATE TO MAKE OTHER LIABLE,F,2,PERSONATE TO MAKE OTHER LIABLE - F,0
PERSONATE TO MAKE OTHER LIABLE (F),F,31,PERSONATE TO MAKE OTHER LIABLE (F) - F,0
PERSONATE TO MAKE OTHER LIABLE (M),F,6,PERSONATE TO MAKE OTHER LIABLE (M) - F,0
PERSONATE TO POST BAIL/SURETY (F),F,1,PERSONATE TO POST BAIL/SURETY (F) - F,0
PERSONATE TO RECORDED DOCUMENT,F,1,PERSONATE TO RECORDED DOCUMENT - F,0
PERSONATE TO RECORDED DOCUMENT (M),F,2,PERSONATE TO RECORDED DOCUMENT (M) - F,0
PETTY THEFT,F,44,PETTY THEFT - F,0
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,F,4,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - F,0
PETTY THEFT(All Other Larceny) (M),F,22,PETTY THEFT(All Other Larceny) (M) - F,0
PETTY THEFT(Pocket Picking) (M),F,1,PETTY THEFT(Pocket Picking) (M) - F,0
POSS DECEPTIVE GOVERNMENT IDENT/DRVRS LIC (M),F,1,POSS DECEPTIVE GOVERNMENT IDENT/DRVRS LIC (M) - F,0
POSS INCOMPLETE ACCESS CARD (M),F,1,POSS INCOMPLETE ACCESS CARD (M) - F,0
POSS OF ACCESS CARD W/INTENT TO USE/SELL/TRSFR (M),F,13,POSS OF ACCESS CARD W/INTENT TO USE/SELL/TRSFR (M) - F,0
POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD,F,1,POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD - F,0
POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD (F),F,19,POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD (F) - F,0
POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD (M),F,6,POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD (M) - F,0
POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD,F,5,POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD - F,0
POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD (M),F,267,POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD (M) - F,0
PRESENT FALSE INSURANCE CLAIM FOR PAYMENT (F),F,2,PRESENT FALSE INSURANCE CLAIM FOR PAYMENT (F) - F,0
SELL LOST ACCESS CARD (F),F,2,SELL LOST ACCESS CARD (F) - F,0
SELL/TRANSFERS/ETC ACCESS CARD W/O CONSENT,F,3,SELL/TRANSFERS/ETC ACCESS CARD W/O CONSENT - F,0
THEFT,F,12,THEFT - F,0
THEFT (M),F,8,THEFT (M) - F,0
THEFT BY FORGED/INVALID CREDIT CARD (OVER $950),F,59,THEFT BY FORGED/INVALID CREDIT CARD (OVER $950) - F,0
THEFT BY FORGERY/INVALID CREDIT CARD (LESS THAN $950),F,6,THEFT BY FORGERY/INVALID CREDIT CARD (LESS THAN $950) - F,0
THEFT BY MISREPRESENTATION AS CREDIT CARD HOLDER (UNDER $950),F,27,THEFT BY MISREPRESENTATION AS CREDIT CARD HOLDER (UNDER $950) - F,0
THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),F,785,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M) - F,0
THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),F,526,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F) - F,0
THEFT BY USE OF CREDIT CARD (OVER $950),F,1,THEFT BY USE OF CREDIT CARD (OVER $950) - F,0
THEFT BY USE OF CREDIT CARD (UNDER $950),F,36,THEFT BY USE OF CREDIT CARD (UNDER $950) - F,0
THEFT OF CREDIT CARD/CARD NOT OWN,F,3,THEFT OF CREDIT CARD/CARD NOT OWN - F,0
THEFT OF UTILITY SERVICES,F,3,THEFT OF UTILITY SERVICES - F,0
THEFT OF UTILITY SERVICES (M),F,20,THEFT OF UTILITY SERVICES (M) - F,0
THEFT:NONRETURN OF RENTAL PROP [UNDER 1000] (M),F,6,THEFT:NONRETURN OF RENTAL PROP [UNDER 1000] (M) - F,0
THEFT/NON-RETURN OF RENTAL PROPERTY,F,1,THEFT/NON-RETURN OF RENTAL PROPERTY - F,0
UNAUTHORIZED USE OF PERSONAL IDENTIFICATION:OBTAIN CREDIT,F,7,UNAUTHORIZED USE OF PERSONAL IDENTIFICATION:OBTAIN CREDIT - F,0
USE ACCESS CARD ACCOUNT INFO W/O CONSENT (F),F,145,USE ACCESS CARD ACCOUNT INFO W/O CONSENT (F) - F,0
USE ANOTHER PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC,F,22,USE ANOTHER PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC - F,0
USE/ACCESS CREDIT CARD ACCOUNT INFORMATION W/O CONSENT,F,2,USE/ACCESS CREDIT CARD ACCOUNT INFORMATION W/O CONSENT - F,0
VICTIM'S RIGHT TO FRAUDULENT APPLICATION INFORMATION,F,1,VICTIM'S RIGHT TO FRAUDULENT APPLICATION INFORMATION - F,0
OBTAIN MONEY BY FRAUD:CARDS [OVER $400] (F),G,1,OBTAIN MONEY BY FRAUD:CARDS [OVER $400] (F) - G,0
DOMESTIC VIOLENCE CALLS,I,47,DOMESTIC VIOLENCE CALLS - I,0
DOMESTIC VIOLENCE INCIDENT (CALL),I,1331,DOMESTIC VIOLENCE INCIDENT (CALL) - I,0
REPORT OF DOMESTIC VIOLENCE,I,12,REPORT OF DOMESTIC VIOLENCE - I,0
AFFIXING GRAFFITI ON REAL OR PERSONAL PROPERTY,M,2,AFFIXING GRAFFITI ON REAL OR PERSONAL PROPERTY - M,0
DAMAGE ETC/USE ETC/POWER CONNECTING LINES (F),M,4,DAMAGE ETC/USE ETC/POWER CONNECTING LINES (F) - M,0
DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE (M),M,2,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE (M) - M,0
DESTROY CEMETERY PROPERTY (F),M,1,DESTROY CEMETERY PROPERTY (F) - M,0
FALSE IMPERSONATION OF ANOTHER (M),M,1,FALSE IMPERSONATION OF ANOTHER (M) - M,0
FALSE PERSONATION OF ANOTHER:SPEC CIRC (M),M,7,FALSE PERSONATION OF ANOTHER:SPEC CIRC (M) - M,0
GRAND THEFT:MONEY/LABOR/PROPERTY (F),M,1,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - M,0
INTERFERE WITH POWER LINE (F),M,2,INTERFERE WITH POWER LINE (F) - M,0
MALICIOUS MISCHIEF TO VEH,M,3,MALICIOUS MISCHIEF TO VEH - M,0
MALICIOUS MISCHIEF/VANDALISM (FELONY),M,53,MALICIOUS MISCHIEF/VANDALISM (FELONY) - M,0
MALICIOUS MISCHIEF/VANDALISM(MISDEMEANOR),M,484,MALICIOUS MISCHIEF/VANDALISM(MISDEMEANOR) - M,0
OBSTRUCT USE OF ANY WIRELESS COMMUNICATION DEVICE (M),M,19,OBSTRUCT USE OF ANY WIRELESS COMMUNICATION DEVICE (M) - M,0
PETTY THEFT(All Other Larceny) (M),M,1,PETTY THEFT(All Other Larceny) (M) - M,0
PETTY THEFT(from Building) (M),M,1,PETTY THEFT(from Building) (M) - M,0
TAMPER WITH VEH,M,30,TAMPER WITH VEH - M,0
TAMPERING WITH WIRELESS COMMUNICATION DEVICE,M,2,TAMPERING WITH WIRELESS COMMUNICATION DEVICE - M,0
TERRORIZE: PLACE/ETC SYMBOL/ETC ON PRIVATE PROPERTY W PRIORS,M,1,TERRORIZE: PLACE/ETC SYMBOL/ETC ON PRIVATE PROPERTY W PRIORS - M,0
VANDALISM ($1000-$5000),M,5,VANDALISM ($1000-$5000) - M,0
VANDALISM ($400 OR MORE),M,1201,VANDALISM ($400 OR MORE) - M,0
VANDALISM ($400 OR MORE) (F),M,6948,VANDALISM ($400 OR MORE) (F) - M,0
VANDALISM ($5000-$50000),M,42,VANDALISM ($5000-$50000) - M,0
VANDALISM (LESS THAN $1000),M,59,VANDALISM (LESS THAN $1000) - M,0
VANDALISM (LESS THAN $400),M,531,VANDALISM (LESS THAN $400) - M,0
VANDALISM [$400 OR LESS] (M),M,4353,VANDALISM [$400 OR LESS] (M) - M,0
VANDALISM:DAMAGE PROPERTY (FELONY),M,1,VANDALISM:DAMAGE PROPERTY (FELONY) - M,0
VANDALISM:DAMAGE PROPERTY (MISDEMEANOR),M,21,VANDALISM:DAMAGE PROPERTY (MISDEMEANOR) - M,0
VANDALISM:DEFACE PROPERTY (MISDEMEANOR),M,25,VANDALISM:DEFACE PROPERTY (MISDEMEANOR) - M,0
VANDALISM:DESTROY OTHER'S PROPERTY,M,4,VANDALISM:DESTROY OTHER'S PROPERTY - M,0
VANDALIZE PLACE OF WORSHIP,M,1,VANDALIZE PLACE OF WORSHIP - M,0
VANDALIZE PLACE OF WORSHIP (F),M,12,VANDALIZE PLACE OF WORSHIP (F) - M,0
VIOLATE CIVIL RIGHTS:CAUSE PROP DAMAGE (FELONY) (F),M,8,VIOLATE CIVIL RIGHTS:CAUSE PROP DAMAGE (FELONY) (F) - M,0
BRING NARCOTIC PARAPHERNALIA INTO PRISON/JAIL (F),N,1,BRING NARCOTIC PARAPHERNALIA INTO PRISON/JAIL (F) - N,0
"MANUFACTURE, DISTRIBUTION AND SALE PROHIBITED OF NOVEL SYNTHETIC DRUG (M)",N,1,"MANUFACTURE, DISTRIBUTION AND SALE PROHIBITED OF NOVEL SYNTHETIC DRUG (M) - N",0
SMOKING PROHIBITED IN PUBLIC PARK OR BEACH (I),N,3,SMOKING PROHIBITED IN PUBLIC PARK OR BEACH (I) - N,0
ANNOY/MOLEST CHILD,S,9,ANNOY/MOLEST CHILD - S,0
ANNOY/MOLEST CHILDREN UNDER 18 (M),S,18,ANNOY/MOLEST CHILDREN UNDER 18 (M) - S,0
ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),S,37,ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M) - S,0
ANNOY/MOLESTS VICTIM UNDER 18 YEARS OF AGE,S,9,ANNOY/MOLESTS VICTIM UNDER 18 YEARS OF AGE - S,0
ASSAULT W/INTENT TO COMMIT RAPE/OTH SEX ACTS DURING RES 459 (F),S,6,ASSAULT W/INTENT TO COMMIT RAPE/OTH SEX ACTS DURING RES 459 (F) - S,1
ASSAULT W/INTENT TO COMMIT RAPE/OTHER SEX ACTS,S,1,ASSAULT W/INTENT TO COMMIT RAPE/OTHER SEX ACTS - S,1
ASSAULT WITH INTENT TO RAPE,S,18,ASSAULT WITH INTENT TO RAPE - S,1
ASSAULT WITH INTENT TO RAPE IN COMMISSION OF 459,S,1,ASSAULT WITH INTENT TO RAPE IN COMMISSION OF 459 - S,1
ATTEMPTED RAPE,S,3,ATTEMPTED RAPE - S,1
CRIME AGAINST NATURE/SODOMY,S,2,CRIME AGAINST NATURE/SODOMY - S,0
CRIMES AGAINST CHILDREN/LEWD OR LASCIVIOUS,S,5,CRIMES AGAINST CHILDREN/LEWD OR LASCIVIOUS - S,0
DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),S,62,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M) - S,0
DISORDERLY CONDUCT: PROSTITUTION - SEX FOR COMPENSATION (M),S,77,DISORDERLY CONDUCT: PROSTITUTION - SEX FOR COMPENSATION (M) - S,0
HARMFUL MATTER OF MNR SENT W/SEXUAL INTENT OF A KNOWN MINOR (F),S,2,HARMFUL MATTER OF MNR SENT W/SEXUAL INTENT OF A KNOWN MINOR (F) - S,0
HARMFUL MATTER SENT: INTENT OF SEDUCTION OF MINOR (F),S,2,HARMFUL MATTER SENT: INTENT OF SEDUCTION OF MINOR (F) - S,0
HARMFUL MATTER SENT/ETC W/INTENT TO SEDUCE MINOR (M),S,1,HARMFUL MATTER SENT/ETC W/INTENT TO SEDUCE MINOR (M) - S,0
INCEST (F),S,1,INCEST (F) - S,0
LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER 11D (F),S,20,LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER 11D (F) - S,0
LEWD AND LASCIVIOUS ACT WITH DEPENDENT ADULT BY CARETAKER (F),S,3,LEWD AND LASCIVIOUS ACT WITH DEPENDENT ADULT BY CARETAKER (F) - S,0
LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14 W/FORCE/ETC (F),S,5,LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14 W/FORCE/ETC (F) - S,0
LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),S,97,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F) - S,0
LEWD/LASCIVIOUS ACTS - CHILD UNDER 14 YEARS,S,35,LEWD/LASCIVIOUS ACTS - CHILD UNDER 14 YEARS - S,0
OBSCENE MATTER DEPICT MINOR:COMMERCIAL CONSIDERATION (F),S,1,OBSCENE MATTER DEPICT MINOR:COMMERCIAL CONSIDERATION (F) - S,0
ORAL COPULATION IN CONCERT W/ FORCE OR FEAR (F),S,1,ORAL COPULATION IN CONCERT W/ FORCE OR FEAR (F) - S,0
ORAL COPULATION W/ FORCE OR FEAR (F),S,24,ORAL COPULATION W/ FORCE OR FEAR (F) - S,0
ORAL COPULATION W/ PERSON UNDER 16 YEARS (F),S,2,ORAL COPULATION W/ PERSON UNDER 16 YEARS (F) - S,0
ORAL COPULATION W/ PERSON UNDER 18 YEARS (F),S,7,ORAL COPULATION W/ PERSON UNDER 18 YEARS (F) - S,0
ORAL COPULATION WITH PERSON UNDER 14 YRS/ETC (F),S,1,ORAL COPULATION WITH PERSON UNDER 14 YRS/ETC (F) - S,0
ORAL COPULATION:VIC INTOXICATED (F),S,8,ORAL COPULATION:VIC INTOXICATED (F) - S,0
ORAL COPULATION:VICTIM INCAPABLE OF CONSENT (F),S,2,ORAL COPULATION:VICTIM INCAPABLE OF CONSENT (F) - S,0
ORAL COPULATION:VICTIM UNCONSCIOUS OF NATURE OF ACT (F),S,5,ORAL COPULATION:VICTIM UNCONSCIOUS OF NATURE OF ACT (F) - S,0
PANDERING,S,3,PANDERING - S,0
POSS/DISTRIBUTE OBSCENE MATTER OF MINOR TO MINOR (M),S,2,POSS/DISTRIBUTE OBSCENE MATTER OF MINOR TO MINOR (M) - S,0
POSSESS/ETC OBSCENE MATTER OF MINOR IN SEXUAL ACT (F),S,3,POSSESS/ETC OBSCENE MATTER OF MINOR IN SEXUAL ACT (F) - S,0
